"Release
Date",Title,"Opening
Weekend","Maximum
Theaters","Domestic
Box Office","Worldwide
Box Office","Domestic
Share"
"Jun 7, 2019",Dark Phoenix,"$32,828,348","3,721","$65,845,974","$246,356,895",26.7%
"Mar 2, 2018",Red Sparrow,"$16,853,422","3,064","$46,874,505","$145,951,861",32.1%
"Sep 15, 2017",mother!,"$7,534,673","2,368","$17,800,004","$42,531,076",41.9%
"Dec 21, 2016",Passengers,"$14,869,736","3,478","$100,014,699","$302,239,672",33.1%
"May 27, 2016",X-Men: Apocalypse,"$65,769,562","4,153","$155,442,489","$542,537,546",28.7%
"Dec 25, 2015",Joy,"$17,015,168","2,924","$56,451,232","$101,134,059",55.8%
"Nov 20, 2015",The Hunger Games: Mockingja…,"$102,665,981","4,175","$281,723,902","$648,986,787",43.4%
"Feb 26, 2015",Serena,"$100,090",59,"$176,391","$604,813",29.2%
"Nov 21, 2014",The Hunger Games: Mockingja…,"$121,897,634","4,151","$337,135,885","$766,575,131",44.0%
"May 23, 2014",X-Men: Days of Future Past,"$90,823,660","4,001","$233,921,534","$747,862,775",31.3%
"Dec 13, 2013",American Hustle,"$740,455","2,629","$150,117,807","$257,878,294",58.2%
"Nov 22, 2013",The Hunger Games: Catching …,"$158,074,286","4,163","$424,668,047","$864,868,047",49.1%
"Nov 16, 2012",Silver Linings Playbook,"$443,003","2,809","$132,092,958","$236,412,453",55.9%
"Sep 21, 2012",House at the End of the Street,"$12,287,234","3,083","$31,611,916","$44,103,982",71.7%
"Mar 23, 2012",The Hunger Games,"$152,535,747","4,137","$408,010,692","$677,923,379",60.2%
"Jun 3, 2011",X-Men: First Class,"$55,101,604","3,692","$146,408,305","$355,408,305",41.2%
"Jun 11, 2010",Winter's Bone,"$84,797",141,"$6,531,503","$16,131,551",40.5%
"Jul 17, 2009",The Poker House,,,,,
,,,,,,
Averages,,"$49,977,965","3,103","$152,636,932","$352,794,507",43.7%
