,Title,Opening_Weekend,Maximum_Theaters,Domestic_Box Office,Worldwide_Box Office,release_month_date,release_year
0,Dark Phoenix,32828348,3721,65845974,246356895,Jun 7, 2019
1,Red Sparrow,16853422,3064,46874505,145951861,Mar 2, 2018
2,mother!,7534673,2368,17800004,42531076,Sep 15, 2017
3,Passengers,14869736,3478,100014699,302239672,Dec 21, 2016
4,X-Men: Apocalypse,65769562,4153,155442489,542537546,May 27, 2016
5,Joy,17015168,2924,56451232,101134059,Dec 25, 2015
6,The Hunger Games: Mockingja…,102665981,4175,281723902,648986787,Nov 20, 2015
7,Serena,100090,59,176391,604813,Feb 26, 2015
8,The Hunger Games: Mockingja…,121897634,4151,337135885,766575131,Nov 21, 2014
9,X-Men: Days of Future Past,90823660,4001,233921534,747862775,May 23, 2014
10,American Hustle,740455,2629,150117807,257878294,Dec 13, 2013
11,The Hunger Games: Catching …,158074286,4163,424668047,864868047,Nov 22, 2013
12,Silver Linings Playbook,443003,2809,132092958,236412453,Nov 16, 2012
13,House at the End of the Street,12287234,3083,31611916,44103982,Sep 21, 2012
14,The Hunger Games,152535747,4137,408010692,677923379,Mar 23, 2012
15,X-Men: First Class,55101604,3692,146408305,355408305,Jun 3, 2011
16,Winter's Bone,84797,141,6531503,16131551,Jun 11, 2010
